Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
35571,England,-0.38,-0.30,0.53,-1.38,7,0.6764705882352942
35571,Turkey,-0.38,-0.30,0.53,-1.12,7,0.17647058823529413
35571,Germany,-0.38,1.80,0.53,1.23,7,0.14705882352941177
35571,Russia,2.27,-1.35,0.53,0.97,7,0
35571,France,-0.38,-0.30,-1.52,0.19,7,0
35571,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35571,Austria,-0.38,0.75,0.53,0.45,7,0
35505,Italy,-0.38,-0.30,-1.52,-0.34,7,0.14705882352941177
35505,Turkey,-0.38,-0.30,0.53,-1.12,7,0.29411764705882354
35505,France,-0.38,-0.30,-1.52,0.19,7,0.23529411764705882
35505,England,-0.38,-0.30,0.53,-1.38,7,0.20588235294117646
35505,Germany,-0.38,1.80,0.53,1.23,7,0.11764705882352941
35505,Russia,2.27,-1.35,0.53,0.97,7,0
35505,Austria,-0.38,0.75,0.53,0.45,7,0
35466,France,-0.38,-0.30,-1.52,0.19,7,0.38235294117647056
35466,Germany,-0.38,1.80,0.53,1.23,7,0.35294117647058826
35466,Turkey,-0.38,-0.30,0.53,-1.12,7,0.2647058823529412
35466,England,-0.38,-0.30,0.53,-1.38,7,0
35466,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35466,Austria,-0.38,0.75,0.53,0.45,7,0
35466,Russia,2.27,-1.35,0.53,0.97,7,0
35373,England,-0.38,-0.30,0.53,-1.38,7,0.5294117647058824
35373,Italy,-0.38,-0.30,-1.52,-0.34,7,0.17647058823529413
35373,Turkey,-0.38,-0.30,0.53,-1.12,7,0.20588235294117646
35373,Russia,2.27,-1.35,0.53,0.97,7,0.058823529411764705
35373,France,-0.38,-0.30,-1.52,0.19,7,0.029411764705882353
35373,Germany,-0.38,1.80,0.53,1.23,7,0
35373,Austria,-0.38,0.75,0.53,0.45,7,0
35289,England,-0.38,-0.30,0.53,-1.38,7,0.38235294117647056
35289,Russia,2.27,-1.35,0.53,0.97,7,0.20588235294117646
35289,Turkey,-0.38,-0.30,0.53,-1.12,7,0.029411764705882353
35289,Austria,-0.38,0.75,0.53,0.45,7,0
35289,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35289,France,-0.38,-0.30,-1.52,0.19,7,0
35289,Germany,-0.38,1.80,0.53,1.23,7,0
35257,Turkey,-0.38,-0.30,0.53,-1.12,7,0.5294117647058824
35257,Germany,-0.38,1.80,0.53,1.23,7,0.4117647058823529
35257,Italy,-0.38,-0.30,-1.52,-0.34,7,0.029411764705882353
35257,France,-0.38,-0.30,-1.52,0.19,7,0.029411764705882353
35257,Austria,-0.38,0.75,0.53,0.45,7,0
35257,England,-0.38,-0.30,0.53,-1.38,7,0
35257,Russia,2.27,-1.35,0.53,0.97,7,0
35256,England,-0.38,-0.30,0.53,-1.38,7,0.5588235294117647
35256,Austria,-0.38,0.75,0.53,0.45,7,0.17647058823529413
35256,France,-0.38,-0.30,-1.52,0.19,7,0.14705882352941177
35256,Russia,2.27,-1.35,0.53,0.97,7,0.11764705882352941
35256,Italy,-0.38,-0.30,-1.52,-0.34,7,0
35256,Germany,-0.38,1.80,0.53,1.23,7,0
35256,Turkey,-0.38,-0.30,0.53,-1.12,7,0
35253,Italy,-0.38,-0.30,-1.52,-0.34,7,0.5294117647058824
35253,England,-0.38,-0.30,0.53,-1.38,7,0.4117647058823529
35253,Russia,2.27,-1.35,0.53,0.97,7,0.029411764705882353
35253,France,-0.38,-0.30,-1.52,0.19,7,0.029411764705882353
35253,Austria,-0.38,0.75,0.53,0.45,7,0
35253,Turkey,-0.38,-0.30,0.53,-1.12,7,0
35253,Germany,-0.38,1.80,0.53,1.23,7,0
34951,Turkey,-0.38,-0.30,0.53,-1.12,7,0.3235294117647059
34951,England,-0.38,-0.30,0.53,-1.38,7,0.3235294117647059
34951,France,-0.38,-0.30,-1.52,0.19,7,0.29411764705882354
34951,Italy,-0.38,-0.30,-1.52,-0.34,7,0.029411764705882353
34951,Germany,-0.38,1.80,0.53,1.23,7,0.029411764705882353
34951,Austria,-0.38,0.75,0.53,0.45,7,0
34951,Russia,2.27,-1.35,0.53,0.97,7,0
34835,Austria,-0.38,0.75,0.53,0.45,7,0.35294117647058826
34835,Russia,2.27,-1.35,0.53,0.97,7,0.29411764705882354
34835,Germany,-0.38,1.80,0.53,1.23,7,0.17647058823529413
34835,France,-0.38,-0.30,-1.52,0.19,7,0.14705882352941177
34835,England,-0.38,-0.30,0.53,-1.38,7,0.029411764705882353
34835,Turkey,-0.38,-0.30,0.53,-1.12,7,0
34835,Italy,-0.38,-0.30,-1.52,-0.34,7,0
34826,Austria,-0.38,0.75,0.53,0.45,7,0.4411764705882353
34826,Italy,-0.38,-0.30,-1.52,-0.34,7,0.38235294117647056
34826,England,-0.38,-0.30,0.53,-1.38,7,0.17647058823529413
34826,France,-0.38,-0.30,-1.52,0.19,7,0
34826,Germany,-0.38,1.80,0.53,1.23,7,0
34826,Turkey,-0.38,-0.30,0.53,-1.12,7,0
34826,Russia,2.27,-1.35,0.53,0.97,7,0
34643,Germany,-0.38,1.80,0.53,1.23,7,0.17647058823529413
34643,France,-0.38,-0.30,-1.52,0.19,7,0.17647058823529413
34643,Turkey,-0.38,-0.30,0.53,-1.12,7,0.14705882352941177
34643,Russia,2.27,-1.35,0.53,0.97,7,0.14705882352941177
34643,Italy,-0.38,-0.30,-1.52,-0.34,7,0.11764705882352941
34643,Austria,-0.38,0.75,0.53,0.45,7,0.11764705882352941
34643,England,-0.38,-0.30,0.53,-1.38,7,0.08823529411764706
34633,Russia,2.27,-1.35,0.53,0.97,7,0.5294117647058824
34633,Italy,-0.38,-0.30,-1.52,-0.34,7,0.29411764705882354
34633,England,-0.38,-0.30,0.53,-1.38,7,0.14705882352941177
34633,France,-0.38,-0.30,-1.52,0.19,7,0.029411764705882353
34633,Germany,-0.38,1.80,0.53,1.23,7,0
34633,Austria,-0.38,0.75,0.53,0.45,7,0
34633,Turkey,-0.38,-0.30,0.53,-1.12,7,0
34617,Austria,-0.38,0.75,0.53,0.45,7,0.3235294117647059
34617,France,-0.38,-0.30,-1.52,0.19,7,0.23529411764705882
34617,Russia,2.27,-1.35,0.53,0.97,7,0.23529411764705882
34617,Italy,-0.38,-0.30,-1.52,-0.34,7,0.11764705882352941
34617,England,-0.38,-0.30,0.53,-1.38,7,0.08823529411764706
34617,Germany,-0.38,1.80,0.53,1.23,7,0
34617,Turkey,-0.38,-0.30,0.53,-1.12,7,0
34447,Russia,2.27,-1.35,0.53,0.97,7,0.5588235294117647
34447,Turkey,-0.38,-0.30,0.53,-1.12,7,0.20588235294117646
34447,Italy,-0.38,-0.30,-1.52,-0.34,7,0.08823529411764706
34447,France,-0.38,-0.30,-1.52,0.19,7,0.11764705882352941
34447,Germany,-0.38,1.80,0.53,1.23,7,0.029411764705882353
34447,England,-0.38,-0.30,0.53,-1.38,7,0.0
34447,Austria,-0.38,0.75,0.53,0.45,7,0
34440,Austria,-0.38,0.75,0.53,0.45,7,0.2647058823529412
34440,Italy,-0.38,-0.30,-1.52,-0.34,7,0.20588235294117646
34440,Turkey,-0.38,-0.30,0.53,-1.12,7,0.20588235294117646
34440,England,-0.38,-0.30,0.53,-1.38,7,0.14705882352941177
34440,Germany,-0.38,1.80,0.53,1.23,7,0.08823529411764706
34440,France,-0.38,-0.30,-1.52,0.19,7,0.08823529411764706
34440,Russia,2.27,-1.35,0.53,0.97,7,0
34430,England,-0.38,-0.30,0.53,-1.38,7,0.5294117647058824
34430,Turkey,-0.38,-0.30,0.53,-1.12,7,0.47058823529411764
34430,Austria,-0.38,0.75,0.53,0.45,7,0.0
34430,Germany,-0.38,1.80,0.53,1.23,7,0
34430,France,-0.38,-0.30,-1.52,0.19,7,0
34430,Italy,-0.38,-0.30,-1.52,-0.34,7,0
34430,Russia,2.27,-1.35,0.53,0.97,7,0
34412,Germany,-0.38,1.80,0.53,1.23,7,0.35294117647058826
34412,Turkey,-0.38,-0.30,0.53,-1.12,7,0.3235294117647059
34412,England,-0.38,-0.30,0.53,-1.38,7,0.3235294117647059
34412,Russia,2.27,-1.35,0.53,0.97,7,0
34412,Austria,-0.38,0.75,0.53,0.45,7,0
34412,Italy,-0.38,-0.30,-1.52,-0.34,7,0
34412,France,-0.38,-0.30,-1.52,0.19,7,0
34395,France,-0.38,-0.30,-1.52,0.19,7,0.5588235294117647
34395,Austria,-0.38,0.75,0.53,0.45,7,0.2647058823529412
