Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
33271,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.16666666666666666
33216,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.4583333333333333
33216,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.25
33216,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.20833333333333334
33216,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.08333333333333333
32912,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.625
32912,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.2916666666666667
32912,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.08333333333333333
32912,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
32842,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4166666666666667
32842,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.3333333333333333
32842,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.25
32842,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
32808,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.5833333333333334
32808,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.20833333333333334
32808,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.20833333333333334
32808,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
32770,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.375
32770,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.2916666666666667
32770,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.20833333333333334
32770,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.125
32708,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.5416666666666666
32708,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4583333333333333
32708,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
32708,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0
32670,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.8333333333333334
32670,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0
32670,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
32670,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0
32421,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5416666666666666
32421,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.2916666666666667
32421,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.16666666666666666
32421,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
31971,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.625
31971,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.16666666666666666
31971,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.08333333333333333
31971,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.125
31860,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4166666666666667
31860,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.2916666666666667
31860,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.2916666666666667
31860,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
31720,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.5416666666666666
31720,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.375
31720,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.041666666666666664
31720,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.041666666666666664
31489,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.5416666666666666
31489,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4166666666666667
31489,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.041666666666666664
31489,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0
31415,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.625
31415,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.25
31415,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.041666666666666664
31415,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.08333333333333333
31335,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.5416666666666666
31335,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.3333333333333333
31335,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.125
31335,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
31325,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.4583333333333333
31325,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
31325,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0
31325,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
31310,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5416666666666666
31310,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.3333333333333333
31310,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.08333333333333333
31310,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.041666666666666664
31254,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.625
31254,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.3333333333333333
31254,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.041666666666666664
31254,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
30957,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4166666666666667
30957,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.4166666666666667
30957,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.16666666666666666
30957,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
30941,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.5416666666666666
30941,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4583333333333333
30941,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.0
30941,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.0
30937,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.5
30937,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.5
30937,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
30937,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0
30522,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5416666666666666
30522,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.4583333333333333
30522,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.0
30522,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0
29953,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5833333333333334
29953,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.2916666666666667
29953,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.041666666666666664
29953,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
29659,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.5416666666666666
29659,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.25
29659,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.16666666666666666
29659,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.041666666666666664
29444,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.6666666666666666
29444,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.20833333333333334
29444,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.08333333333333333
29444,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.041666666666666664
29288,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5833333333333334
29288,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.3333333333333333
29288,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.08333333333333333
29288,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
